번호,공고명,접수구분,구분,지원사업명,사업개요,날짜,주관부서,지원대상,사업내용
9238,(예비)사회적기업 일자리창출사업 재심사 참여기업 선정,마감,인력,2016년 2차 (예비)사회적기업 일자리창출사업 재심사 참여기업 선정 계획 공고,(예비)사회적기업 일자리창출사업 재심사 참여기업 선정,2016-06-29 ~ 2016-07-13,경상북도 일자리창출단(054-880-2621),일자리창출사업에 참여하고 있는 기업으로 계속지원을 신청한 기업,"ㅇ 지원내용 : 최저임금 수준의 참여근로자 인건비와 사업주부담 사회보험료(인건비 지원금의 9.33%) 일부
 

 ㅇ 지원기간 : 지원 약정서 상 명기된 지원 개시일로부터 ‘12개월’
 
 - 일자리창출사업 최대지원기간 : 5년
 
 - 예비사회적기업은 예비 지정일로부터 3년이내 최대지원기간은 2년
 
 - 사회적기업은 인증 후 최초 지원개시일로부터 5년이내 최대지원기간은 3년
 

 ㅇ 지원비율 : 일자리창출사업 참여연차별로 지원비율 차등적용"
9239,(예비)여성창업기업 대상 아이디어 발굴 및 기술개발 지원,마감,"R&D,창업",2016년 2차 창업성장기술개발사업 여성참여활성화과제 시행계획 공고,(예비)여성창업기업 대상 아이디어 발굴 및 기술개발 지원,2016-07-01 ~ 2016-08-04,중소기업기술정보진흥원(국번없이 1357),"창업 후 7년 이하이고 매출액 50억원 이하이거나 상시 근로자 수 50인 이하인 여성창업기업, 경력단절 여성고용 창업기업, 예비 (여성)창업팀","ㅇ 지원규모: 51억원 (50개 내외 지원)
 
 - R&D; 지원 투자의 효율성ㆍ투명성 확보를 위한 R&D; 바우처 제도 적용사업
 

 ㅇ 정부출연금 : 총 사업비의 80% 이내에서 최대 1년, 1억원까지 지원
 

 ㅇ 민간부담금 : 중소기업은 총 사업비의 20% 이상을 부담(민간부담금의 50% 이상은 현금으로 부담)"
9240,'2016 파리국제식품박람회' 참가 지원,마감,판로,2016 프랑스파리 국제식품박람회(SIAL PARIS 2016) 참가 지원계획 공고,'2016 파리국제식품박람회' 참가 지원,2016-07-01 ~ 2016-07-11,전라남도 국제협력관실 이정화(061-286-2453),전남 소재 중소기업,"ㅇ 전시회 개요
 
 - 개최기간 : ’16. 10. 16.(일) ～ 10. 20.(목) / 5일간
 
 - 장    소 : Paris Nord Villepinte - France
 
 - 규    모 : 100여개 국가관  5,800기업 참가 예상
 
 - 전시품목 : 건강음료, 과일주스, 가공 육류, 해산물, 가공유제품, 야채, 과일 등
 

 ㅇ 사업량 : 3개부스  5개사 내외
 

 ㅇ 사업비 : 45백만원(지특22.5, 도비 22.5)
 

 ㅇ 지원내용 : 부스 임차료, 통역비 전액"
9241,"창업기업 대상 전문가 멘토링, 사업모델) 개발, 투자유치 지원",마감,창업,2016년도 창업도약 패키지 지원사업 창업기업 모집(2회차),"창업기업 대상 전문가 멘토링, 사업모델) 개발, 투자유치 지원",2016-07-01 ~ 2016-08-25,창업진흥원 창업사업화부(042-480-4344~9),창업 3년이상 7년이내 기업,"ㅇ 지원규모(2016년도) : 100억원, 160개사 이내
 

 ㅇ 지원기간 : 3년
 

 ㅇ 지원내용
 
 - 사업모델(BM) 혁신과 경영전략 멘토링
 
 - 사업아이템 검증 및 보강
 
 - 판로개척 및 글로벌 시장진출
 
 - 투자유치 및 자금 지원·연계
 
 - 주관(협력)기관 제공 특화 프로그램"
9242,소상공인 대상 경영환경개선 지원,마감,판로,2016년 하반기 소상공인 경영환경개선사업 공고,소상공인 대상 경영환경개선 지원,2016-07-01 ~ 2016-07-08,경기 R&DB; 센터 1층 소상공인지원센터(031-888-0916),경기도 내 창업 6개월 이상된 소상공인 사업자,"ㅇ 지원내용 : 홍보물제작, 광고비, 점포 환경개선, POS경비 등 지원
 
 - 홍보물 : 전단지, 리플렛, 카다로그, 판촉물 제작 등
 
 - 홈페이지 : 홈페이지, 모바일웹 신규 또는 전면개편 제작 등
 
 - 제품포장 : 제품포장용기, 포장박스 제작 등
 
 - CI, BI : 기업이미지 및 제품브랜드용 로고 제작 등"
9243,"IT/SW기업 대상 제품테스팅, 컨설팅 및 인증취득 지원",마감,R&D,2016년 SW제품경쟁력 강화지원 사업 모집 공고,"IT/SW기업 대상 제품테스팅, 컨설팅 및 인증취득 지원",2016-07-01 ~ 2016-11-28,"충청북도지식산업진흥원 과학기술진흥본부 김이헌 대리(043-210-0856, kim2honey@cbkipa.net)","충북지역  IT/SW분야 중소기업 및 해당기업이 개발한 SW제품, 개발 프로세스","ㅇ SW 테스팅
 
 - 충북SW품질역량센터 내 테스팅 장비 무상 활용(HP LoadRunner)
 
 - 구축 장비 활용을 위한 전문 인력 지원
 

 ㅇ SW 컨설팅 : 품질인증컨설팅, 사업화컨설팅 등
 

 ㅇ SW 인증 취득
 
 - 지원규모 : 7개사 내외"
9244,‘2016 상해식품박람회’ 참가 지원,마감,판로,2016년 상해식품 박람회 한국관 참가업체 모집 공고,‘2016 상해식품박람회’ 참가 지원,2016-07-01 ~ 2016-07-28,한국무역협회 국제협력실(02-6000-5026/5543),국내 식품업체,"ㅇ 전시회 개요
 
 - 전시회명 : 상해식품박람회(FHC China 2016)
 
 - 전시장소 : 상해신국제박람중심(Shanghai New International Expo Centere(SNIEC))
 
 - 전시기간 : 2016. 11. 7(월) ~ 9(수), 3일간
 
 - 전시품목
 
 ㆍ 식음료 : 제과 제빵, 각종 씨리얼, 유제품, 과일 및 채소류, 냉동식품, 건강기능 식품, 육류, 해산물, 주류, 주스, 커피&티, 미네랄 워터 등
 
 ㆍ 호텔 및 식품기기 : 커피 관련 설비, 주방세척기구, 호텔 식자재, 오븐, 냉동설비, 주방 가구, 식탁보, 제과제빵 설비 등
 
 ㆍ 유통, 도/소매, 호텔, 레스토랑, 카페, 출장업체, 인테리어사, 정부, 관련 업체
 

 ㅇ 모집규모 : 10여개사
 

 ㅇ 지원 사항
 
 - 부스임차료(US$425/sqm) 50% 이내
 
 - 부스장치비(조명, 기본벽체, 바닥카펫, 쇼 케이스, 상담용 탁자, 의자 등) 50% 이내
 
 - 편도 해상운송료(1CBM) 100% 이내
 
 - 개인 체제비(항공 및 숙박)는 별도"
9245,(예비)창업자 대상 사업화 단계별 맞춤형 지원,마감,창업,2016년 4차 크리에이티브팩토리 사업화 단계별 맞춤형 지원과제 2단계 모집,(예비)창업자 대상 사업화 단계별 맞춤형 지원,2016-07-01 ~ 2016-07-15,크리에이티브팩토리 사업화지원팀 김지형 연구원(053-219-4000),예비창업자 및 창업기업의 대표자,"ㅇ 지원분야
 
 - 스마트기기(모바일, IT기기, 차세대 디바이스 등), 융합신제품(로봇, 의료기기, 드론, 스마트카 등) 등
 

 ㅇ 단계별 지원내용
 
 - 1단계, 아이디어 기획·구체화 : 아이디어에 대한 검증과 구체화 등을 통해 아이디어를 과제아이템화 할 수 있도록 지원(상시 공고)
 
 - 2단계, 제품 설계·디자인 : 창조적 아이디어의 제품화에 필요한 기술 지원을 통해 제품 구현 및 기술력 확보
 
 - 3단계, 시제품 개발·구현 : 성공적인 제품화를 위해 제품 개발에 투입되는 직접 비용에 대한 지원 (모집마감)
 
 - 4단계, 시장진출 : 아이디어의 제품화 후 성공적인 사업화 지원 (상시 공고)"
9246,고용창출 기여 중소기업 대상 인건비 지원,마감,인력,2016년 고용창출 지원사업(지역산업맞춤형 일자리 창출 지원사업),고용창출 기여 중소기업 대상 인건비 지원,2016-07-01 ~ 2016-07-08,대전상공회의소 기업서비스팀 전만기(042-480-3046),대전ㆍ세종 소재 중소기업,ㅇ 지원내용 : 인건비 일부 지원
9247,SW기업 대상 '글로벌 엑셀러레이팅 프로그램' 참가 지원,마감,"판로,인력",지역SW기업 중국진출 글로벌 엑셀러레이팅 프로그램 참가기업 모집 공고,SW기업 대상 '글로벌 엑셀러레이팅 프로그램' 참가 지원,2016-07-01 ~ 2016-07-11,"(재)대구디지털산업진흥원 SW성장지원팀 김미선 선임(053-655-1400, cutems0407@dip.or.kr)",대구 지역 SW기업,"ㅇ 사업기간 및 프로그램 운영
 
 - 기간 및 장소 : 2016. 8. 15 ~ 8. 18, 중국 상하이
 
 - 규모 : 지역SW기업 5개사 내외
 
 - 현지 방문을 통한 집체 교육
 

 ㅇ 지원내용 : 기업별 교육 참가비 전액 지원
 
 - 프로그램 교육 참가비 100%지원 및 현장운영 지원
 
 - 프로그램 운영을 위한 통역 별도지원
 
 - 항공, 숙박, 체재비 등 기업 자부담"
